time side pressure1 pressure2 pressure3 pressure4 pressure5 pressure6 pressure7 pressure8 pressure9 pressure10 pressure11 pressure12 pressure13 pressure14 pressure15 pressure16 acc1 acc2 acc3 ang1 ang2 ang3 totalForce cop1 cop2 
20602520 1 17 22 24 26 10 8 2 7 1 0 0 1 3 11 0 0 -0.23681640625 0.01318359375 0.96435546875 -0.6299999952316284 -6.300000190734863 1.6800000667572021 322 -0.20268937945365906 -0.07163402438163757 
20602528 1 17 22 24 26 11 8 2 6 1 0 0 1 2 11 0 0 -0.234375 0.01123046875 0.9697265625 -0.6299999952316284 -6.300000190734863 1.8200000524520874 319 -0.2064785212278366 -0.06466430425643921 
20610340 0 13 12 16 14 3 7 1 9 2 1 1 2 2 8 1 1 -0.22607421875 0.03466796875 0.955078125 -1.5399999618530273 3.640000104904175 -1.190000057220459 231 -0.15338006615638733 -0.08833342045545578 
20602538 1 16 21 24 26 11 9 2 6 2 0 0 0 2 11 0 0 -0.2236328125 0.01416015625 0.966796875 -0.49000000953674316 -6.159999847412109 1.75 318 -0.20199120044708252 -0.0619681216776371 
20610348 0 13 12 16 13 2 8 1 9 2 1 1 2 2 11 1 1 -0.22509765625 0.03271484375 0.966796875 -2.0299999713897705 3.5 -1.3300000429153442 234 -0.13805361092090607 -0.08377709984779358 
20610358 0 12 11 16 14 2 8 1 9 2 1 1 1 2 11 1 1 -0.22705078125 0.0361328125 0.9736328125 -1.9600000381469727 3.7799999713897705 -1.190000057220459 229 -0.13804271817207336 -0.08432398736476898 
20610368 0 13 9 16 15 2 8 1 9 2 1 1 2 2 12 1 1 -0.23046875 0.0380859375 0.97119140625 -1.9600000381469727 3.990000009536743 -1.1200000047683716 235 -0.12916596233844757 -0.0824013352394104 
20602548 1 18 22 24 26 12 8 2 6 3 0 0 0 2 12 0 0 -0.232421875 0.0146484375 0.96435546875 -0.42000001668930054 -6.159999847412109 1.8200000524520874 330 -0.19824159145355225 -0.053174298256635666 
20602560 1 18 23 24 26 12 8 2 6 2 0 0 0 2 11 0 0 -0.2197265625 0.009765625 0.95751953125 -0.699999988079071 -6.230000019073486 1.75 327 -0.2074628323316574 -0.058281395584344864 
20610380 0 13 10 15 13 2 7 1 9 2 1 1 2 2 11 0 1 -0.23095703125 0.03466796875 0.97021484375 -1.75 4.199999809265137 -1.0499999523162842 222 -0.1370800882577896 -0.08210479468107224 
20602568 1 18 23 24 26 13 8 2 6 2 0 0 0 1 11 0 0 -0.23046875 0.009765625 0.9716796875 -1.1200000047683716 -6.369999885559082 1.75 327 -0.209128737449646 -0.0549057275056839 
20602578 1 17 22 24 26 13 8 2 6 1 0 0 1 2 11 0 0 -0.23193359375 0.0107421875 0.97265625 -1.0499999523162842 -6.230000019073486 1.8200000524520874 324 -0.20522063970565796 -0.06271245330572128 
20610388 0 12 11 16 13 3 8 1 10 2 1 1 2 2 11 0 1 -0.23193359375 0.0341796875 0.970703125 -1.75 4.480000019073486 -1.1200000047683716 233 -0.1364806741476059 -0.08803900331258774 
20610398 0 12 11 15 12 3 8 1 10 3 1 1 2 2 11 0 2 -0.23291015625 0.03125 0.970703125 -1.6800000667572021 4.480000019073486 -1.1200000047683716 232 -0.12569288909435272 -0.08505105972290039 
20602588 1 18 23 24 26 12 8 2 7 1 0 0 0 3 11 0 0 -0.232421875 0.0078125 0.9677734375 -0.8400000333786011 -5.949999809265137 1.8899999856948853 329 -0.20733603835105896 -0.06727027148008347 
20602600 1 19 23 24 26 14 8 2 7 1 0 0 0 3 11 0 0 -0.2314453125 0.01318359375 0.96875 -0.699999988079071 -5.880000114440918 1.9600000381469727 337 -0.20748989284038544 -0.06411277502775192 
20610408 0 12 10 15 13 3 8 1 9 2 2 1 2 3 12 1 2 -0.2265625 0.03076171875 0.96484375 -1.6100000143051147 4.409999847412109 -0.9100000262260437 235 -0.11518840491771698 -0.08533310890197754 
20602608 1 17 22 24 26 14 7 2 6 1 0 0 0 2 10 0 0 -0.224609375 0.01611328125 0.96728515625 -0.49000000953674316 -5.740000247955322 2.0299999713897705 320 -0.21190127730369568 -0.059813808649778366 
20602618 1 18 22 23 26 13 7 3 7 1 0 0 0 2 10 0 0 -0.228515625 0.00830078125 0.96923828125 -0.5600000023841858 -5.949999809265137 2.0999999046325684 324 -0.20826485753059387 -0.06100337952375412 
20602628 1 18 22 23 26 12 9 3 6 1 0 0 0 3 10 0 0 -0.23046875 0.015625 0.9677734375 -0.2800000011920929 -5.809999942779541 2.0999999046325684 325 -0.20782683789730072 -0.06411129236221313 
20610420 0 11 9 15 14 2 8 1 9 1 2 1 2 3 12 0 3 -0.23095703125 0.0341796875 0.96923828125 -1.75 4.550000190734863 -1.0499999523162842 226 -0.11903853714466095 -0.09584096819162369 
20610428 0 11 9 14 13 2 7 1 9 2 1 2 2 3 12 0 2 -0.232421875 0.03564453125 0.96337890625 -1.6100000143051147 4.480000019073486 -1.0499999523162842 220 -0.11280014365911484 -0.0902000293135643 
20610438 0 11 8 14 12 2 6 1 9 2 1 1 2 2 12 0 1 -0.22216796875 0.0322265625 0.96630859375 -1.399999976158142 4.269999980926514 -0.9800000190734863 208 -0.1165987178683281 -0.08040878921747208 
20610448 0 11 8 14 13 2 6 1 9 3 1 1 2 2 11 0 1 -0.23046875 0.0361328125 0.9658203125 -1.399999976158142 3.990000009536743 -1.1200000047683716 211 -0.11823681741952896 -0.07948344945907593 
20602640 1 18 23 24 26 17 9 3 6 0 0 0 0 4 10 0 0 -0.228515625 0.01318359375 0.970703125 -0.2800000011920929 -6.019999980926514 2.0299999713897705 341 -0.20837552845478058 -0.06426873803138733 
20602648 1 17 23 24 26 16 8 2 6 0 0 0 0 4 9 0 0 -0.244140625 0.0185546875 0.9716796875 -0.42000001668930054 -6.159999847412109 1.75 329 -0.2147854119539261 -0.0695904865860939 
20610460 0 10 8 14 12 2 7 1 9 2 1 1 2 3 11 1 1 -0.2333984375 0.03466796875 0.96484375 -1.399999976158142 4.130000114440918 -1.1200000047683716 210 -0.10997660458087921 -0.09085056185722351 
20602658 1 19 25 23 26 14 7 2 6 1 0 0 0 2 11 0 0 -0.2294921875 0.02001953125 0.96630859375 -0.14000000059604645 -6.159999847412109 1.8200000524520874 330 -0.21445314586162567 -0.05917719006538391 
20610468 0 11 8 14 12 2 8 1 9 3 1 2 2 3 11 1 2 -0.228515625 0.033203125 0.96826171875 -1.3300000429153442 4.480000019073486 -1.190000057220459 222 -0.10236173123121262 -0.0873560681939125 
20610478 0 11 8 13 12 2 7 1 10 2 2 2 2 2 11 1 3 -0.2333984375 0.0400390625 0.96826171875 -1.2599999904632568 4.550000190734863 -1.190000057220459 219 -0.09947774559259415 -0.09332715719938278 
20602668 1 20 25 24 25 14 8 2 5 2 0 0 0 2 11 0 0 -0.23779296875 0.01904296875 0.9658203125 0.07000000029802322 -5.809999942779541 1.8200000524520874 335 -0.21305707097053528 -0.05076637864112854 
20610488 0 11 7 13 12 2 6 1 9 3 2 1 2 2 11 1 2 -0.2314453125 0.037109375 0.9697265625 -1.0499999523162842 4.619999885559082 -1.190000057220459 210 -0.09849029034376144 -0.07872878015041351 
20602680 1 19 24 25 26 13 8 2 6 0 0 0 0 4 9 0 0 -0.2275390625 0.01708984375 0.96630859375 0.49000000953674316 -6.159999847412109 2.0999999046325684 330 -0.22120584547519684 -0.06940627098083496 
20602688 1 18 24 25 27 12 10 2 6 1 0 0 1 4 8 0 0 -0.2294921875 0.01513671875 0.9697265625 0.49000000953674316 -6.579999923706055 2.240000009536743 336 -0.21645879745483398 -0.07580327242612839 
20610500 0 11 8 13 12 2 6 1 9 3 2 2 2 2 11 0 1 -0.22998046875 0.0283203125 0.96875 -0.8400000333786011 4.690000057220459 -1.1200000047683716 211 -0.10648924112319946 -0.07859364151954651 
20610508 0 11 8 13 11 2 8 1 9 3 2 1 2 2 12 1 2 -0.23095703125 0.02880859375 0.96923828125 -0.6299999952316284 4.619999885559082 -0.8400000333786011 217 -0.09601882845163345 -0.08003457635641098 
20610518 0 10 7 13 10 2 7 1 9 2 2 1 2 3 11 1 2 -0.22900390625 0.0341796875 0.96435546875 -0.42000001668930054 4.829999923706055 -0.8400000333786011 204 -0.093551404774189 -0.08859243988990784 
20602698 1 17 25 26 27 12 10 2 5 0 0 0 1 3 10 0 0 -0.22998046875 0.0126953125 0.97216796875 0.49000000953674316 -6.720000267028809 2.240000009536743 334 -0.2180807888507843 -0.07100341469049454 
20602708 1 17 25 25 26 11 8 2 6 0 0 0 0 4 9 0 0 -0.22900390625 0.009765625 0.966796875 0.7699999809265137 -6.579999923706055 2.240000009536743 323 -0.22130164504051208 -0.07468686252832413 
20602720 1 19 25 24 26 11 9 2 6 0 0 0 0 4 9 0 0 -0.22998046875 0.01953125 0.966796875 0.9800000190734863 -6.300000190734863 2.240000009536743 327 -0.2230643481016159 -0.07481745630502701 
20602728 1 20 25 24 26 11 9 2 6 0 0 0 0 4 8 0 0 -0.232421875 0.013671875 0.9697265625 0.9100000262260437 -6.230000019073486 2.450000047683716 328 -0.22815217077732086 -0.07499498128890991 
20602738 1 20 25 24 27 10 9 2 7 1 0 0 0 3 7 0 0 -0.22802734375 0.01806640625 0.96484375 0.699999988079071 -6.300000190734863 2.309999942779541 330 -0.22891104221343994 -0.07649785280227661 
20610528 0 9 5 14 11 2 7 1 9 2 1 2 2 3 11 0 1 -0.2294921875 0.037109375 0.97216796875 -0.3499999940395355 4.690000057220459 -0.9800000190734863 199 -0.0967593863606453 -0.08955373615026474 
20610540 0 9 6 14 11 2 6 1 9 3 1 2 2 3 10 0 1 -0.234375 0.03173828125 0.95751953125 -0.2800000011920929 4.480000019073486 -0.9100000262260437 200 -0.09912867844104767 -0.08523574471473694 
20610548 0 9 7 13 10 2 6 1 9 3 2 1 2 3 10 0 2 -0.23095703125 0.0400390625 0.97021484375 -0.3499999940395355 4.130000114440918 -0.9100000262260437 198 -0.09492479264736176 -0.08585423231124878 
20602748 1 20 25 24 27 10 9 3 7 1 0 0 0 4 7 0 0 -0.228515625 0.01708984375 0.958984375 0.3499999940395355 -6.300000190734863 2.240000009536743 336 -0.22333572804927826 -0.07547280937433243 
20610558 0 9 7 13 11 2 6 1 9 3 2 1 2 4 11 1 2 -0.23486328125 0.03369140625 0.9697265625 -0.49000000953674316 4.059999942779541 -0.9100000262260437 207 -0.08405456691980362 -0.08863335847854614 
20610568 0 8 5 13 11 2 6 1 9 2 3 1 2 4 11 1 2 -0.23095703125 0.037109375 0.9658203125 -0.3499999940395355 4.059999942779541 -0.9100000262260437 200 -0.07449501752853394 -0.09296476095914841 
20602760 1 20 25 24 27 11 10 3 6 0 0 0 0 4 7 0 0 -0.22607421875 0.01171875 0.9658203125 0.21000000834465027 -6.159999847412109 2.1700000762939453 334 -0.22855859994888306 -0.0757564827799797 
20602768 1 20 26 24 27 12 9 3 7 0 0 0 0 3 7 0 0 -0.22705078125 0.0146484375 0.96728515625 -0.07000000029802322 -6.159999847412109 2.0299999713897705 338 -0.22964854538440704 -0.07482369989156723 
20610580 0 8 7 12 11 1 6 1 10 2 2 2 2 3 10 1 2 -0.23291015625 0.03564453125 0.96484375 -0.5600000023841858 3.9200000762939453 -0.9100000262260437 198 -0.08496502041816711 -0.1051701083779335 
20610588 0 8 8 12 11 1 7 1 10 2 1 2 3 4 10 0 2 -0.23828125 0.03466796875 0.966796875 -0.6299999952316284 3.9200000762939453 -0.9800000190734863 203 -0.09292781352996826 -0.11589886248111725 
20610598 0 7 7 13 11 2 7 1 10 2 1 2 3 4 10 0 2 -0.23095703125 0.03515625 0.966796875 -0.699999988079071 3.7799999713897705 -1.1200000047683716 203 -0.08852706104516983 -0.11322753131389618 
20602778 1 21 26 24 27 12 9 3 7 0 0 0 0 2 6 0 0 -0.22509765625 0.01806640625 0.966796875 -0.3499999940395355 -6.440000057220459 1.9600000381469727 336 -0.23696449398994446 -0.07270340621471405 
20602788 1 21 26 24 27 12 10 2 6 0 0 0 0 2 6 0 0 -0.224609375 0.013671875 0.96630859375 -0.5600000023841858 -6.090000152587891 1.8899999856948853 332 -0.2420145571231842 -0.07417293637990952 
20610608 0 10 6 13 11 1 7 1 9 2 2 2 3 3 10 1 2 -0.23486328125 0.0361328125 0.966796875 -0.8400000333786011 3.569999933242798 -1.1200000047683716 205 -0.08975499123334885 -0.0965927243232727 
